id;type;nom;rarete;cout;description;effetJeu;precision;evolutif;rulebook
malchance;Désavantage;Malchance;Commun;3;Avec ce Désavantage, le personnage s'expose à deux types d'inconvénients. Tout d'abord, il ne regagne qu'un seul Point de Chance (au lieu de 2) lors d'un échec critique. Ensuite, comme la Malchance se manifeste toujours quand la situation est délicate, le meneur de jeu peut, deux fois par partie, demander au joueur de relancer les dés d'une action réussie. Si ce second jet est raté, le personnage ne regagne bien évidemment aucun Point de Chance.;Le personnage ne regagne qu'un seul Point de Chance au lieu de 2 sur un échec critique. Deux fois par partie, le meneur de jeu peut lui faire relancer les dés d'une action réussie. Si ce second jet est raté, aucun Point de Chance n'est regagné.;;;livre-de-regles-2e-edition
manie;Désavantage;Manie;Commun;1;Kleptomanie, grossièreté, collections étranges, les manies peuvent être de plusieurs natures, mais il faut forcément qu'il s'agisse d'un travers qui provoquera des réactions négatives. Ce Désavantage peut survenir plusieurs fois.;Un travers qui provoque forcément des réactions négatives autour du personnage. Peut être pris plusieurs fois.;Nature de la manie;oui;livre-de-regles-2e-edition
obsession;Désavantage;Obsession;Commun;2;Tout le monde a un but, un idéal qu'il entend réaliser par tous les moyens. Avec ce Désavantage, le personnage est obsédé par un objectif qu'il fera passer avant son devoir, ses compagnons et peut-être même sa survie. Il peut s'agir d'une simple soif de pouvoir comme d'une longue quête religieuse, d'une envie de découverte, d'une vengeance, etc. Ce Désavantage peut survenir plusieurs fois.;Le personnage fait passer son objectif avant son devoir, ses compagnons et peut-être même sa survie. Peut être pris plusieurs fois.;Objet de l'obsession;oui;livre-de-regles-2e-edition
phobie;Désavantage;Phobie;Commun;1/3/5;Le personnage a peur de quelque chose. Selon les cas, cela peut aller de la simple peur à la panique totale. Pour 1 point, cela peut être une peur liée à un mauvais souvenir ou une gêne passagère (vertige, claustrophobie, etc.). Le personnage subit un malus de -1 à toutes ses actions tant qu'il reste en présence du catalyseur. Pour 3 points, cette peur peut être liée à un environnement particulier (nuit, forêt, etc.) ou à des situations déjà subies par le passé (obscurité, foules, insectes, etc.). Le personnage subit un malus de -3 à toutes ses actions en présence du catalyseur et de -1 pendant une heure après l'avoir quitté. Pour 5 points, cette peur est liée à un traumatisme violent ou une vision récurrente (dragons, magie, etc.). Le personnage subit un malus de -5 à toutes ses actions en présence du catalyseur et de -3 durant une heure après l'avoir quitté du fait de sa panique. Ce Désavantage ne se surmonte que progressivement. Le personnage retombe au stade inférieur à chaque dépense et ne s'en débarrassera qu'en surmontant le stade à 1.;1 point : malus de -1 tant que le personnage reste en présence du catalyseur. 3 points : malus de -3 en présence du catalyseur, et de -1 pendant une heure après l'avoir quitté. 5 points : malus de -5 en présence du catalyseur, et de -3 pendant une heure après. Ne se surmonte que progressivement, un stade à la fois.;Objet de la phobie;oui;livre-de-regles-2e-edition
serment;Désavantage;Serment;Commun;2;Le personnage a juré un jour d'effectuer une action particulière encore non réglée à ce jour. Il fera tout pour honorer sa parole. Il cherchera à honorer son serment au plus vite sans sombrer dans la précipitation aveugle. Le serment est au choix du joueur (avec l'accord du meneur de jeu). Ce Désavantage peut survenir plusieurs fois.;Le personnage fera tout pour honorer sa parole, au plus vite mais sans précipitation aveugle. Le serment est choisi par le joueur avec l'accord du meneur de jeu. Peut être pris plusieurs fois.;Serment juré;oui;livre-de-regles-2e-edition
amnesie;Désavantage;Amnésie;Rare;3;Sans perdre totalement la mémoire, le personnage oublie fréquemment des détails et des passages de sa vie. La raison peut en être variable (âge, coup à la tête, choc émotionnel, etc.). Chaque fois qu'il tente de se souvenir d'un nom, d'un visage, d'une phrase, ou de tout autre détail récent, le joueur doit réussir un jet de Mental + Intelligence contre une Difficulté de 15 (pour des détails mineurs ou très récents) ou de 20 (pour des éléments importants ou un peu plus anciens). Si un joueur dont le personnage est amnésique demande au meneur de jeu de lui répéter une information, ce dernier peut également utiliser ce Désavantage pour déclarer qu'il a oublié.;Pour se souvenir d'un nom, d'un visage, d'une phrase ou de tout autre détail : jet de Mental + Intelligence contre une Difficulté de 15 sur un détail mineur ou très récent, de 20 sur un élément important ou plus ancien. Le meneur de jeu peut aussi refuser de répéter une information au nom de ce Désavantage.;Cause de l'amnésie;oui;livre-de-regles-2e-edition
appel-de-la-bete;Désavantage;Appel de la bête;Rare;5;Le personnage est tourmenté par des pulsions brutales (suite à des insultes, le dépit, l'échec, la frustration, etc.) qui le poussent régulièrement à commettre des actes incontrôlables, tels que brutaliser un compagnon maladroit ou s'acharner sur l'objet de son irritation. De plus, chaque fois que le personnage est confronté à une situation susceptible de réveiller ses pulsions, il subit un accès de colère. La crise ne prend fin qu'une fois l'infortunée victime inerte (immobilisée ou inconsciente). Dans cet état, le joueur est obligé de lancer les trois dés des Tendances, il conserve celui dont le résultat est le plus élevé (au risque de gagner des Points de Tendance indésirables) et double les cercles ainsi obtenus. Le joueur peut tenter un jet de Mental + Volonté contre une Difficulté de 20 pour refréner sa rage.;Face à une situation qui réveille ses pulsions, le personnage subit un accès de colère qui ne prend fin qu'une fois sa victime inerte. Pendant la crise, le joueur lance les trois dés des Tendances, garde le plus élevé — au risque de gagner des Points de Tendance indésirables — et double les cercles obtenus. Un jet de Mental + Volonté contre une Difficulté de 20 permet de refréner la rage.;;oui;livre-de-regles-2e-edition
blessure;Désavantage;Blessure;Rare;5;Suite à une bataille, le personnage a subi une blessure qui ne s'est jamais vraiment refermée. Quelles que soient ses valeurs de Résistance et de Volonté, le personnage perd définitivement une case d'égratignure et une case de blessure légère. Aucune tentative de soins, même magiques, ne peut rendre ces cercles perdus à ce personnage.;Le personnage perd définitivement une case d'Égratignure et une case de blessure Légère, quelles que soient sa Résistance et sa Volonté. Aucun soin, magique compris, ne les rend.;;;livre-de-regles-2e-edition
incompetence;Désavantage;Incompétence;Rare;5;Il est parfois nécessaire de faire des sacrifices : ce Désavantage représente l'impasse que le personnage a faite sur une catégorie de Compétences (Combat, Mouvement, Théorie, etc.) au choix du joueur. Les Compétences de cette catégorie ne pourront être utilisées qu'avec une Difficulté augmentée de 5, quel que soit le type d'action. De plus, le niveau maximum que peut atteindre le personnage dans les Compétences de cette liste est réduit à 10. Ce Désavantage peut survenir plusieurs fois, mais forcément pour des catégories de Compétences différentes.;Sur toute une catégorie de Compétences choisie par le joueur : Difficulté augmentée de 5 quel que soit le type d'action, et niveau maximum réduit à 10. Peut être pris plusieurs fois, pour des catégories différentes.;Catégorie de compétences;oui;livre-de-regles-2e-edition
dependance;Désavantage;Dépendance;Rare;3;Le personnage a l'habitude de consommer une substance (drogue, alcool) qui provoque de cruelles souffrances en cas de manque. La Difficulté de toutes ses actions est alors augmentée de 3. Le meneur de jeu a toute liberté pour rappeler à l'ordre les joueurs qui « oublieraient » de combler leurs besoins.;En état de manque : Difficulté augmentée de 3 sur toutes les actions.;Substance;oui;livre-de-regles-2e-edition
deviance;Désavantage;Déviance;Rare;3;Le personnage est perturbé par des envies pour le moins douteuses et dérangeantes, telles que des amitiés ambiguës, une avarice prononcée, un goût pour le mensonge pathologique, etc. Il appartient au joueur de décider de la déviance dont souffre son personnage, mais le meneur de jeu est libre de rappeler à l'ordre le joueur qui oublie de gérer son Désavantage.;La déviance est choisie par le joueur. Le meneur de jeu est libre de rappeler à l'ordre celui qui oublie de la jouer.;Nature de la déviance;oui;livre-de-regles-2e-edition
ennemi-rare;Désavantage;Ennemi;Rare;5;Comme décrit précédemment, si ce n'est qu'il peut s'agir ici d'un ennemi irréductible ou d'un ennemi susceptible de freiner la progression du personnage au sein de sa caste ou du Lien draconique. En tant que meneur de jeu, arrangez-vous pour que le personnage puisse un jour ou l'autre découvrir l'origine exacte de ses « petits soucis », de façon à ce que l'ennemi prenne forme et à ce que vous puissiez expliquer ses motivations au personnage. Il n'est pas possible de se débarrasser de l'un d'entre eux, ce dernier ayant toujours un proche, un frère d'arme ou encore un fidèle pour menacer à nouveau le personnage. Ce Désavantage peut survenir plusieurs fois.;Un ennemi irréductible, ou capable de freiner la progression du personnage dans sa caste ou dans le Lien draconique. Contrairement à l'Ennemi commun, on ne s'en débarrasse pas : un proche, un frère d'arme ou un fidèle reprend toujours la menace. Peut être pris plusieurs fois.;Nature de l'ennemi;;livre-de-regles-2e-edition
infirmite;Désavantage;Infirmité;Rare;1/3/5;Le joueur doit définir le type d'infirmité dont souffre son personnage. Pour 1 point, il peut s'agir d'un doigt, d'un ou de quelques orteils, d'un bout de narine, etc. Pour 3 points, il peut s'agir d'un œil, des deux oreilles, d'une main ou d'un pied, etc. Tous les jets impliquant ces membres manquants (Perception, Manipulation) voient leur Difficulté augmentée de 5. Pour 5 points, il peut s'agir des deux yeux, d'une jambe, d'un bras, de la langue, etc. Toutes les Difficultés des jets en rapport sont augmentées de 10. Dans certains cas, le jet est tout simplement impossible.;1 point : un doigt, quelques orteils, un bout de narine — aucun malus chiffré. 3 points : un œil, les deux oreilles, une main ou un pied, avec une Difficulté augmentée de 5 sur tous les jets impliquant le membre manquant. 5 points : les deux yeux, une jambe, un bras, la langue, avec une Difficulté augmentée de 10 sur les jets en rapport, certains devenant tout simplement impossibles.;Type d'infirmité;;livre-de-regles-2e-edition
maladresse;Désavantage;Maladresse;Rare;2;Le personnage est maladroit, tout simplement. Ses jets de Manipulation voient leur Difficulté augmentée de 5. De plus, il lui arrivera très souvent de laisser tomber des objets fragiles, de perdre le contrôle de son arme, de lâcher la corde sur laquelle ses compagnons comptent pour gravir une paroi, etc. Le meneur de jeu peut donc utiliser ce Désavantage pour corser des situations ou interpréter des échecs critiques.;Difficulté augmentée de 5 sur les jets de Manipulation. Le meneur de jeu s'en sert aussi pour corser une situation ou interpréter un échec critique.;;;livre-de-regles-2e-edition
marque-au-fer;Désavantage;Marqué au fer;Rare;3;Le personnage a été considéré comme coupable d'un méfait qui lui a valu d'être marqué au fer rouge. Il est exilé de ce lieu et sera tué s'il y revient. La marque est toujours sur un endroit visible (cou, front, tempes, joue, dos de la main, etc.) et lui vaudra toujours des ennuis, même dans d'autres régions.;Le personnage est exilé du lieu où il a été jugé et y sera tué s'il revient. La marque est sur un endroit visible et lui vaut des ennuis partout ailleurs.;Méfait et emplacement de la marque;oui;livre-de-regles-2e-edition
mauvais-oeil;Désavantage;Mauvais œil;Rare;3;Ce Désavantage transforme le personnage en croquemitaine, en monstre de légende qui fait peur aux enfants et inspire la méfiance. Quelque chose d'indéfinissable en lui provoque un mélange de peur, de suspicion et de dégoût. Tous les jets basés sur le relationnel (Communication et Influence) voient leur Difficulté augmenter de 5. De plus, tous les membres du groupe le considéreront comme quelqu'un de « douteux », à qui il ne faut jamais faire exagérément confiance.;Difficulté augmentée de 5 sur tous les jets relationnels (Communication et Influence). Le groupe lui-même le tient pour quelqu'un de douteux, à qui l'on ne fait jamais exagérément confiance.;;;livre-de-regles-2e-edition
personne-a-charge;Désavantage;Personne à charge;Rare;2;Le personnage est responsable d'une personne dépendante pour qui il a de l'affection (enfant, vieillard, blessé, etc.). Il ne peut s'en défaire aisément et devra veiller sur elle au cours de ses aventures (ou payer des gens pour s'en occuper). Ce Désavantage peut survenir plusieurs fois.;Le personnage doit veiller sur une personne dépendante au cours de ses aventures, ou payer quelqu'un pour s'en occuper. Peut être pris plusieurs fois.;Personne à charge;oui;livre-de-regles-2e-edition
regard-des-dragons;Désavantage;Regard des dragons;Rare;3/5;Depuis que les hommes vivent aux côtés des dragons, le lien qui les unit à leurs créateurs a toujours été à double tranchant. Ce Désavantage place le personnage dans une situation des plus inconfortables, puisqu'un dragon a choisi de le surveiller en permanence pour mieux juger de son comportement. Cette décision peut être prise suite à une action maladroite, une révolte plus ou moins flagrante contre l'autorité d'une cité, un meurtre, etc. La puissance du dragon et la durée de l'observation dépendent du gain en Points d'Avantage choisi. Pour 3 points, le dragon est mineur et la surveillance ne dure que quelques mois. Pour 5 points, le dragon est très puissant et sa surveillance peut durer jusqu'à la mort du personnage, si celui-ci ne prouve pas sa valeur avant ce terme. Les interactions entre le dragon et le personnage sont laissées à l'appréciation du meneur de jeu. Le dragon n'est pas un juge, mais un observateur. Il n'ira pas jusqu'à tuer le personnage, sauf si celui-ci commet une action ouvertement hostile en sa présence, et préférera le manipuler, devenir progressivement son ennemi ou l'exposer à des situations toujours plus dangereuses.;Un dragon surveille le personnage en permanence. 3 points : dragon mineur, surveillance de quelques mois. 5 points : dragon très puissant, surveillance jusqu'à la mort du personnage s'il ne prouve pas sa valeur avant. Le dragon observe plutôt qu'il ne juge : il ne tue que devant une action ouvertement hostile, et préfère manipuler, devenir un ennemi ou exposer le personnage à des situations toujours plus dangereuses.;Motif de la surveillance;oui;livre-de-regles-2e-edition
trouble-mental;Désavantage;Trouble mental;Rare;3;Contrairement à la Déviance, ce Désavantage ne provoque pas de véritable pathologie chez le personnage, mais instaure un déséquilibre constant qui le pousse à douter de lui, à refuser des évidences et à adopter un comportement totalement imprévisible. Le personnage agit de façon incohérente aux yeux de tous, mais il aura toujours une bonne raison à fournir. Ses propos sont mystérieux, embrouillés, et ses actes risquent fort de surprendre ses compagnons au moment où ceux-ci s'y attendront le moins.;Pas une pathologie, mais un déséquilibre constant : le personnage doute de lui, refuse des évidences et agit de façon imprévisible, avec toujours une bonne raison à fournir.;;oui;livre-de-regles-2e-edition
chetif;Désavantage;Chétif;Enfant;1;Le personnage a un petit retard de croissance. La Difficulté de toutes les actions liées à l'Attribut Physique est augmentée de 3.;Difficulté augmentée de 3 sur toutes les actions liées à l'attribut Physique.;;oui;livre-de-regles-2e-edition
curiosite;Désavantage;Curiosité;Enfant;3;L'enfant est irrésistiblement attiré par l'inconnu. Il cherche toujours à découvrir ce qui lui est inconnu, ce qui pourra lui valoir des désagréments réguliers qui pourront entraîner ses compagnons avec lui.;L'enfant va toujours voir ce qu'il ne connaît pas, ce qui lui vaut des désagréments réguliers — et y entraîne ses compagnons.;;oui;livre-de-regles-2e-edition
illusions;Désavantage;Illusions;Enfant;3;L'enfant est convaincu que sa conception du monde est la seule vérité. Ce que certains pourraient qualifier de « confiance » se révèle être un terrible défaut, puisque le personnage refusera systématiquement de croire les explications de ses aînés et, pire encore, ira de son plein gré au-devant de situations parfois mortelles. L'illusion peut être de nature variable : croire que tous les dragons sont pacifiques envers les humains, que le feu ne brûle pas si l'on est brave, qu'aucune flèche ne peut percer une armure bardée de métal, etc.;L'enfant refuse systématiquement les explications de ses aînés et va de son plein gré au-devant de situations parfois mortelles.;Nature de l'illusion;oui;livre-de-regles-2e-edition
insignifiant;Désavantage;Insignifiant;Enfant;1;L'enfant a toutes les peines à se faire entendre des adultes. Son avis est toujours mis de côté lors des discussions. Cela pourra provoquer de sa part des colères ou un mutisme prolongé parfois insupportables.;Les adultes écartent toujours son avis, ce qui lui vaut des colères ou un mutisme prolongé.;;oui;livre-de-regles-2e-edition
lassitude;Désavantage;Lassitude;Enfant;3;L'enfant supporte mal les efforts prolongés où l'ennui l'emporte. Il devient alors assez pénible et irritable. Il pourra même faire des caprices afin de montrer sa désapprobation (ne plus marcher, refuser de dormir, etc.).;Sur un effort prolongé et ennuyeux, l'enfant devient pénible et irritable, jusqu'au caprice — refuser de marcher, refuser de dormir.;;oui;livre-de-regles-2e-edition
mensonges-infantiles;Désavantage;Mensonges infantiles;Enfant;1;L'enfant ne peut s'empêcher de mentir lorsque cela l'arrange. Il ira jusqu'à inventer des excuses invraisemblables ou déformer allègrement la réalité pour attirer l'attention.;L'enfant ment dès que cela l'arrange, jusqu'à inventer des excuses invraisemblables ou déformer la réalité pour attirer l'attention.;;oui;livre-de-regles-2e-edition
echec-rare;Désavantage;Échec;Rare;5;Comme décrit précédemment, si ce n'est que la Difficulté de tous les jets en rapport sera augmentée de 10. Il est possible d'accepter un jet (et un seul) de Mental + Volonté contre une Difficulté de 15 pour réduire cette augmentation à 5.;Difficulté augmentée de 10 sur tous les jets liés au type d'action défini par le joueur. Un jet de Mental + Volonté, et un seul, contre une Difficulté de 15 ramène cette augmentation à 5.;Type d'action ratée;oui;livre-de-regles-2e-edition
naivete;Désavantage;Naïveté;Enfant;2;À l'inverse de la méfiance, la naïveté pousse le personnage à croire aveuglément tout ce qu'on lui dit, quand bien même on lui présenterait un terrible dragon de feu comme une créature bienveillante et protectrice. Tous ses jets pour détecter un éventuel mensonge (avec la Compétence Psychologie, par exemple) voient leur Difficulté augmenter de 5.;Difficulté augmentée de 5 sur tous les jets visant à détecter un mensonge, Psychologie comprise. L'enfant croit aveuglément ce qu'on lui dit.;;oui;livre-de-regles-2e-edition
revolte;Désavantage;Révolte;Enfant;2;L'enfant révolté aura toujours tendance à contester l'autorité établie, qu'elle soit liée aux Dragons ou aux adultes. Son caractère bouillonnant et son refus d'obéir aux ordres risquent de le placer dans des situations délicates.;L'enfant conteste toute autorité, celle des Dragons comme celle des adultes, et refuse d'obéir aux ordres.;;oui;livre-de-regles-2e-edition
transfert;Désavantage;Transfert;Enfant;2;La plupart des enfants et des jeunes sont facilement influençables, mais ce Désavantage est encore plus prononcé, puisqu'il établit un lien étrange entre l'enfant et un de ses compagnons (dans l'intérêt du jeu, mais il peut s'agir de n'importe qui d'autre). Une fois que le meneur de jeu a décidé de la « victime » du transfert, l'enfant se sent irrémédiablement attiré par celle-ci. Il croit reconnaître en lui ou en elle un parent, un proche disparu, un maître, etc. Le transfert risque de créer des rivalités, des conflits, des malentendus et une certaine gêne au sein du groupe.;Le meneur de jeu désigne la « victime » du transfert, souvent un compagnon. L'enfant s'y attache irrémédiablement, croyant y reconnaître un parent, un proche disparu ou un maître, au risque de créer rivalités, conflits et malentendus dans le groupe.;Objet du transfert;oui;livre-de-regles-2e-edition
versatilite;Désavantage;Versatilité;Enfant;3;L'enfant est incapable de fixer longtemps son attention. Il cédera fréquemment à l'attrait de nouvelles activités lorsqu'elles se présenteront. Le personnage ne gagne pas les Points d'Expérience liés à l'« Implication » lors de l'attribution des Points d'Expérience (cf. L'Expérience, page 161).;Le personnage ne gagne pas les Points d'Expérience liés à l'« Implication ».;;oui;livre-de-regles-2e-edition
cardiaque;Désavantage;Cardiaque;Ancien;4;Le personnage a des problèmes de cœur. Son souffle est court et de virulentes douleurs lui serrent parfois la poitrine. Lors d'émotions très violentes (peur intense, joie euphorique, etc.) ou d'efforts physiques (course, combat, etc.) dépassant son score de Résistance en tours, le personnage peut subir une attaque. Il effectue alors un jet de Physique + Résistance contre une Difficulté de 20. En cas d'échec, il coche une case de blessure fatale pour une durée d'une demi-journée. En cas d'échec critique, il coche une case de mort et décède au bout d'un nombre de tours égal à sa Résistance.;Sur une émotion très violente ou un effort physique dépassant la Résistance en tours : jet de Physique + Résistance contre une Difficulté de 20. Échec, une case de blessure Fatale cochée pour une demi-journée. Échec critique, une case de Mort cochée et le personnage décède au bout d'un nombre de tours égal à sa Résistance.;;;livre-de-regles-2e-edition
edente;Désavantage;Édenté;Ancien;2;Le personnage a perdu la majorité de ses dents. Il bafouille et mange ses mots. Il subit un malus de -3 en Communication et ne peut en aucun cas obtenir de Clé parfaite lors du lancement d'un sort utilisant sa voix.;Malus de -3 en Communication. Aucune Clé parfaite possible sur un sort utilisant la voix.;;;livre-de-regles-2e-edition
grincheux;Désavantage;Grincheux;Ancien;2;Le personnage a un caractère des plus désagréables. Il ronchonne et se plaint à longueur de temps. Nul doute que ses compagnons le trouveront vite pénible.;Le personnage ronchonne et se plaint sans cesse, au point de peser sur ses compagnons.;;;livre-de-regles-2e-edition
impotent;Désavantage;Impotent;Ancien;4;Le personnage a de graves difficultés à se mouvoir seul. Il se déplace lentement et la station debout lui est pénible au-delà de quelques heures. Toutes ses actions dépendant de l'Attribut Physique (Combat et Mouvement) voient leurs Difficultés augmentées de 3. Ce Désavantage ne peut être surmonté.;Difficulté augmentée de 3 sur toutes les actions dépendant de l'attribut Physique, Combat et Mouvement compris. Ne peut pas être surmonté.;;;livre-de-regles-2e-edition
malade-imaginaire;Désavantage;Malade imaginaire;Ancien;2;Le personnage est persuadé de souffrir de diverses afflictions irrégulières et parvient à s'en convaincre. Chaque matin, il jette 1D10 sous sa Volonté. Si son jet est supérieur ou égal à sa Caractéristique, il subit un malus de -1 à toutes ses actions pour la journée à cause de tous les désagréments et douleurs dus à sa « maladie ».;Chaque matin, 1D10 sous la Volonté. Un résultat supérieur ou égal à la Caractéristique inflige un malus de -1 à toutes les actions pour la journée.;;;livre-de-regles-2e-edition
nostalgie-obsessionnelle;Désavantage;Nostalgie obsessionnelle;Ancien;2;Le personnage ressasse sans cesse des souvenirs de sa jeunesse. Il sombre fréquemment dans une mélancolie qui pourra peser sur les nerfs de ses cadets.;Le personnage ressasse sa jeunesse et sombre dans une mélancolie qui pèse sur ses cadets.;;;livre-de-regles-2e-edition
