caste;niveau;nom;requis;benefice;techniqueNom;techniqueEffet;note;rulebook
Commerçant;1;Marchand;20 points dans les Compétences Sociales, Présence à 4, Social à 4, Tendance Homme à 2;Le personnage débute sa carrière avec une somme de 500 dracs d'argent et peut développer une Spécialisation de Communication ou de Manipulation.;Le sourire accueillant;En réussissant un jet de Social + Empathie contre une Difficulté de 15, le personnage peut deviner ce que pense un individu dans la ville où il se trouve. Si cette raison est secrète, le personnage doit réussir un jet de Social + Présence contre une Difficulté de 20 pour obtenir la même information.;;livre-de-regles-2e-edition
Commerçant;2;Commerçant;25 points dans les Compétences Sociales, Marchandage ou Baratin à 6, 2 Privilèges de caste;Le personnage dispose d'un petit comptoir marchand, situé dans une cité de son choix, et de quelques apprentis capables de gérer son commerce en son absence.;Recommencer sur erreur;Une fois par jour, en dépensant tous ses Points de Chance restants (minimum 1), le personnage peut transformer un échec critique en un échec simple.;;livre-de-regles-2e-edition
Commerçant;3;Négociant;35 points dans les Compétences Sociales, Chance à 4, 3 Privilèges de caste et de bonnes réserves d'or et de biens (environ 500 dracs d'or);Le personnage connaît le nom et les principales caractéristiques de toutes les compagnies commerciales, guildes et factions marchandes de son royaume. Dans le cas d'un groupe récemment créé, il peut effectuer un jet de Social + Vie en cité contre une Difficulté de 15, ou 20 dans le cas d'une compagnie secrète, pour obtenir ces mêmes informations.;L'examen de conscience;Chaque fois qu'il le désire, le personnage peut effacer tous ses cercles de Tendance, du moment qu'il vient de faire une bonne affaire.;;livre-de-regles-2e-edition
Commerçant;4;Dignitaire;Diplomatie, Estimation et Lois à 6, Chance à 6, 5 Privilèges de caste et une importante fortune matérielle (au moins 1000 dracs d'or);Pour tous ses jets de Social ou de Manuel, le personnage lance un dé supplémentaire de l'Homme qu'il peut choisir de conserver à la place de n'importe quel autre. De plus, il gagne un bonus de 1 à tous ses jets de Social effectués dans sa cité d'origine, ou dans celle où se trouve son comptoir principal.;Une technique éprouvée;Une fois par jour, en dépensant 3 Points de Chance, le personnage peut doubler la valeur de son Attribut Manuel ou Social pour effectuer une action. Aucun Point de Maîtrise ou de Chance ne peut être regagné de cette façon.;;livre-de-regles-2e-edition
Commerçant;5;Prince marchand;60 points dans les Compétences Sociales, Chance ou Maîtrise à 8, un véritable empire commercial;Le personnage est à ce point psychologue qu'il sait toujours si on lui ment. En réussissant un jet de Social + Empathie contre une Difficulté de 15, ou de 20 pour un dragon, il peut également apprendre la vérité sans le montrer à son interlocuteur.;Le bénéfice du doute;Une fois par jour, le personnage peut effacer de la mémoire d'un individu tout souvenir le concernant, du moment qu'il n'a eu aucun contact physique avec cette personne. La durée du souvenir ne peut excéder un nombre de minutes égal à la valeur de l'Attribut Social du personnage. Une fois l'« entretien » terminé, l'individu ne se doute même pas qu'il a rencontré le personnage.;;livre-de-regles-2e-edition
Érudit;1;Apprenti;une Compétence Théorique à 6, Mental à 4;Le personnage peut se spécialiser dans une Compétence Mentale de son choix.;La lettre et le nom;Du moment qu'il a déjà lu un écrit, le personnage est capable d'en reconnaître l'auteur sans effectuer le moindre jet.;;livre-de-regles-2e-edition
Érudit;2;Initié;une Compétence Théorique à 8, Mental à 5, Intelligence à 5, Maîtrise à 4, 35 points cumulés dans les Compétences Mentales, une Tendance à 2, 3 Privilèges de caste;Le personnage dispose d'un certain prestige et peut influer sur les convictions des citoyens de statut inférieur ou égal au sien. En engageant une discussion philosophique d'une heure, il peut dépenser deux cercles d'une Tendance pour déplacer chez son interlocuteur un cercle d'une Tendance vers celle qu'il a dépensée.;La rune et le secret;En réussissant un jet de Mental + Lire et écrire contre une Difficulté de 15, le personnage peut déterminer l'origine, la date ou le sens général de n'importe quel ouvrage écrit (y compris les symboles, les runes et les motifs divers). Chaque NR lui donne une de ces trois informations.;;livre-de-regles-2e-edition
Érudit;3;Érudit;une Compétence Théorique à 9, deux Compétences Théoriques à 7, Mental à 6, Intelligence à 6, Maîtrise à 4, 45 points dans les Compétences Mentales, une Tendance à 3, 4 Privilèges de caste;Le personnage lance pour tous ses jets de Mental un dé neutre supplémentaire qu'il rajoute au résultat du dé choisi.;L'homme et l'Étoile;Par son seul regard, le personnage peut déterminer si un individu est touché par une Étoile. En réussissant un jet de Mental + Empathie contre une Difficulté de 10, il peut découvrir une des Motivations de l'Étoile pour chaque NR.;;livre-de-regles-2e-edition
Érudit;4;Sage;une Compétence Théorique à 10, trois Compétences Théoriques à 8, Mental à 7, 50 points dans les Compétences Mentales, 2 Spécialisations Mentales, 5 Privilèges de caste;Le personnage est considéré comme un disciple d'Ozyr. À ce titre, il représente la sagesse et la connaissance du Grand Dragon des Océans, et peut être consulté lors des discussions de la plus grande importance — conseils de guerre, alliances politiques, etc.;Le livre et le temps;Une fois par jour, en réussissant un jet de Mental + Chance contre une Difficulté de 15, le personnage peut se souvenir d'un texte et obtenir des informations sur n'importe quel sujet traité par l'écrit (histoire, légende, géographie, science, etc.).;;livre-de-regles-2e-edition
Érudit;5;Prophète;une Compétence Théorique à 12, Mental à 8, Intelligence à 8, Maîtrise à 8, une Tendance à 4, 70 points dans les Compétences Mentales, 6 Privilèges de caste;Le personnage est autorisé à consulter les écrits de n'importe quelle bibliothèque draconique. Lorsqu'il y fait des recherches, la Difficulté de tous les jets impliquant des Compétences Théoriques est réduite de 5.;L'homme et le destin;Le personnage est tellement en phase avec le monde qu'il peut lire dans le destin comme dans un livre. Une fois par jour, il peut interroger les astres pour obtenir une réponse à l'une des questions qu'il se pose sur son avenir ou celui de ses compagnons.;;livre-de-regles-2e-edition
Mage;1;Apprenti;une Sphère à 4, une Discipline à 5, Mental à 4, Intelligence à 4;Le personnage peut lire les matrices magiques et déchiffrer les bracelets de mage pour en reconnaître les domaines d'influence grâce à leurs couleurs, leurs matières, leurs gravures, etc. Il peut développer une Spécialisation de Combat ou de Théorie.;La matière;Pour chaque Sphère qu'il maîtrise, le personnage peut faire apparaître, une fois par jour, un petit volume d'élément qu'il pourra ensuite façonner ou utiliser à sa guise. Il peut s'agir d'une petite flamme, d'une poignée de terre, d'un litre d'eau pure, etc.;;livre-de-regles-2e-edition
Mage;2;Initié;une Sphère à 5, une Discipline à 6, Mental à 5, Intelligence à 5, 5 sorts de niveau 1;En réussissant un jet de Mental + Intelligence contre une Difficulté de 15, le personnage peut reconnaître un sort lancé par un autre mage. Si le sort utilise sa Sphère privilégiée, la Difficulté de ce jet est réduite de 5.;L'esprit;Chaque jour, le personnage dispose de deux NR gratuits qu'il peut utiliser pour augmenter les effets de n'importe quel sort (portée, dommages, précision, etc.). Ces bonus peuvent s'appliquer sur deux sorts différents ou pour améliorer deux effets d'un même sort. S'ils ne sont pas dépensés, ils sont tout simplement perdus.;;livre-de-regles-2e-edition
Mage;3;Mage;une Sphère à 6, deux Sphères à 3, deux Disciplines à 5, Mental à 6, Maîtrise à 4, Intelligence à 6, 4 sorts de niveau 2, 3 Privilèges de caste;Le personnage est désormais autorisé à concevoir ses propres sorts, à les enseigner et à créer des matrices magiques pour répandre son savoir. Ce bénéfice évite ainsi que de trop jeunes mages ne s'essayent à la dangereuse conception d'un sort.;La volonté;En dépensant 2 Points de Maîtrise et 2 Points de Magie, le personnage peut lancer et conserver un dé supplémentaire pour effectuer n'importe quel jet de Discipline magique. Ce dé neutre n'est pas concerné par la règle des Tendances.;;livre-de-regles-2e-edition
Mage;4;Grand mage;une Sphère à 8, trois Sphères à 4, une Discipline à 8, Maîtrise à 6, Intelligence à 7, 3 sorts de niveau 3, 5 Privilèges de caste;Le personnage ajoute le niveau de chacune de ses Sphères à tous ses jets de défense contre les sorts utilisant la Sphère correspondante.;La flamme;Une fois par combat, le personnage peut lancer un sort de Magie instinctive sans dépenser aucun Point de Magie.;;livre-de-regles-2e-edition
Mage;5;Grand Maître;une Sphère ou une Discipline à 10, trois Sphères à 6, deux Disciplines à 7, Mental à 7, Maîtrise à 6, 25 sorts, 6 Privilèges de caste;Le personnage est immunisé aux effets des sorts de niveau 1 de sa Sphère privilégiée (à choisir lors de son accession à ce Statut parmi les Sphères ayant le score le plus haut).;La source;Une fois par jour, le personnage peut puiser dans sa Réserve personnelle de Points de Magie pour soigner des blessures, à raison d'une case de blessure par Point de Magie. Les points dépensés de cette façon ne peuvent être regagnés avant le prochain lever du soleil, quel que soit le moyen utilisé (méditation, rituel, etc.).;À ce Statut, les mages peuvent tenter de devenir Maîtres de la Sphère ou de la Discipline dont ils ont acquis la maîtrise parfaite (Grand Maître du Feu ou des Rituels, par exemple). Comme chez les combattants, il n'existe qu'un seul Grand Maître reconnu pour chaque Sphère et chaque Discipline parmi l'ensemble des Grands Maîtres.;livre-de-regles-2e-edition
Prodige;1;Prodige;Tendance Dragon à 3, Empathie à 4;Le personnage est capable de communiquer par télépathie avec n'importe quelle créature draconique et peut développer une Spécialisation de son choix.;La source du rêve;Une fois par jour, en imposant ses mains sur les plaies, le personnage peut soigner toutes les blessures légères d'un être humain ou d'un animal. Aucun jet n'est nécessaire, mais il faut quelques minutes avant que les maux ne disparaissent totalement.;;livre-de-regles-2e-edition
Prodige;2;Prodige;40 points dans les Compétences, tous les Attributs Majeurs à 4, Tendance Dragon à 3, Tendance Fatalité à 0;Du moment qu'il peut plonger son regard dans les yeux d'un être vivant, le personnage peut définir avec précision la valeur de sa Tendance Dragon. Aucun jet n'est nécessaire, mais le personnage doit pouvoir établir un contact visuel suffisant.;Le feu intérieur;Une fois par tour, lorsqu'il combat à mains nues ou avec une arme contondante, le personnage peut ajouter le triple de la valeur de sa Tendance Dragon aux dommages d'une de ses attaques.;;livre-de-regles-2e-edition
Prodige;3;Prodige;60 points dans les Compétences, tous les Attributs Majeurs à 5, Tendance Dragon à 4, Tendances Homme et Fatalité à 0;Lorsqu'il est confronté à un dragon, le personnage est toujours capable de déterminer avec précision sa tranche d'âge, sa lignée et ses principaux traits de caractère. Si le dragon est sous forme humaine, le personnage doit effectuer un jet de Mental + Empathie contre une Difficulté de 15 pour comprendre.;La clarté de l'esprit;Chaque fois qu'il est victime d'un sort offensif, le personnage peut tenter de résister à tous les effets magiques, sur un jet de Mental + Volonté contre une Difficulté de 10 + 5 par niveau du sort.;;livre-de-regles-2e-edition
Prodige;4;Prodige;80 points dans les Compétences, tous les Attributs Majeurs à 6, Tendance Dragon à 4, Tendances Homme et Fatalité à 0*;Porteur de l'héritage de Solyr, le premier Prodige, le personnage est à ce point respecté qu'aucun dragon n'ose plus s'attaquer physiquement à lui — excepté les fils de Kalimsshar. Cette relative « immunité » n'exclut pas le fait qu'un dragon tente de lui nuire, de façon beaucoup plus subtile, ou de s'en prendre à ses compagnons.;Le cycle primordial;En dépensant définitivement 1 point de Résistance ou de Volonté, le personnage peut (se) faire repousser miraculeusement un membre détruit ou coupé. Il est également possible de faire repousser une tête de cette façon.;Pour prétendre à ce Statut, le personnage ne doit posséder aucun cercle noirci dans ces deux Tendances.;livre-de-regles-2e-edition
Prodige;5;Prodige;120 points dans les Compétences, tous les Attributs Majeurs à 7, Tendance Dragon à 5, Tendances Homme et Fatalité à 0*;Une fois par jour, en procédant à une méditation collective, le personnage peut effacer tous ses cercles de Tendance Dragon pour réduire à zéro la Tendance Homme ou Fatalité d'un individu consentant.;Le serment de la Terre;En perdant définitivement 1 Point de Tendance Dragon, le personnage peut détruire une créature vivante corrompue par Kalimsshar ou l'Humanisme, qu'il s'agisse d'un être humain, d'un monstre ou d'un dragon. Le Prodige doit impérativement établir un contact physique avec la créature visée. Une fois dépensé, le Point de Tendance ne peut être regagné qu'au prix de longues quêtes et d'épreuves draconiques supervisées par un fils de Heyra, ou le dragon auquel est lié le personnage.;Pour prétendre à ce Statut, le personnage ne doit posséder aucun cercle noirci dans ces deux Tendances.;livre-de-regles-2e-edition
Protecteur;1;Soldat;une Compétence d'arme à 5, Lois à 3, Physique à 4, Tendance Dragon à 2;Le personnage peut porter un bouclier dragon et développer une Spécialisation de Combat.;L'écaille du dragon;Si son jet de parade au bouclier est réussi contre la Difficulté de base, le personnage gagne automatiquement un Niveau de Réussite supplémentaire.;;livre-de-regles-2e-edition
Protecteur;2;Lieutenant;une Compétence d'arme à 6, Lois à 6, 30 points dans les Compétences de Combat, 15 points dans les Compétences d'Influence, Maîtrise à 4, Tendance Dragon à 3, 2 Privilèges de caste;Le personnage peut donner des ordres aux protecteurs de Statut inférieur et demander l'octroi d'hommes de troupe pour effectuer des missions précises. Le nombre maximum de renforts est égal à deux fois la Compétence Commandement du personnage, et il ne peut s'agir que de protecteurs de Statut strictement inférieur.;La cuirasse du dragon;Chaque fois qu'il effectue une parade au bouclier, le personnage peut dépenser des Points de Maîtrise APRÈS son jet pour réussir sa défense, mais ne peut obtenir au maximum qu'autant de NR que l'attaquant.;;livre-de-regles-2e-edition
Protecteur;3;Capitaine;une Compétence d'arme à 7, Commandement à 5, 50 points dans les Compétences Physiques, 20 points dans les Compétences d'Influence, Maîtrise à 5, Tendance Dragon à 3, Tendances Homme et Fatalité à 2, 4 Privilèges de caste;Le personnage est autorisé à prendre les mesures qu'il juge nécessaires pour faire respecter les Lois draconiques au sein d'une cité.;Le souffle du dragon;Lorsque le personnage choisit le dé du Dragon au cours d'un combat, il gagne automatiquement un jet supplémentaire, et ce quelle que soit l'action, si son jet est réussi.;;livre-de-regles-2e-edition
Protecteur;4;Commandeur;une Compétence d'arme à 8, Lois à 8, Commandement à 7, Maîtrise à 6, Tendance Dragon à 4, Tendances Homme et Fatalité à 0;Le personnage est chargé de l'autorité draconique et peut faire appliquer la loi sur l'ensemble de Kor. De plus, lorsqu'il prend le commandement d'une unité, tous les hommes qui suivent ses ordres gagnent un bonus de 2 à toutes leurs actions de combat. Ce bonus n'est applicable que si le personnage participe activement au combat.;Le sang du dragon;Deux fois par jour, le personnage peut effectuer un jet d'Empathie + 1D10 contre une Difficulté de 0 pour guérir une case de blessure (au choix) par NR, à lui ou à une cible de son choix, tant que cette dernière peut entendre ses exhortations et ses encouragements.;;livre-de-regles-2e-edition
Protecteur;5;Commandeur-dragon;Commandement à 10, Lois à 10, Maîtrise à 9, Tendance Dragon à 5, 6 Privilèges de caste;L'importance du personnage aux yeux de Brorne lui permet de monter n'importe quel dragon de pierre à qui il en fait la demande, du moment que la raison de cette demande est fondée. S'il participe à une bataille à dos de dragon, tous les hommes qui sont sous son commandement gagnent un bonus de 3 à leurs actions de combat.;Le don draconique;En dépensant définitivement 1 point de Résistance, le personnage peut rappeler à la vie n'importe quel être humain possédant au moins 3 en Tendance Dragon.;;livre-de-regles-2e-edition
Voyageur;1;Marcheur;six Compétences à 5, tous les Attributs Majeurs à 4, Chance à 2;S'il dispose d'une carte, le personnage peut déterminer le meilleur itinéraire pour relier deux points, estimer la durée du voyage et la présence possible d'auberges et de haltes. Le personnage peut développer une Spécialisation de Mouvement ou de Théorie.;À la croisée des chemins;En réussissant un jet de Mental + Empathie contre une Difficulté de 10, le personnage peut comprendre le sens général de n'importe quelle phrase prononcée en langue inconnue. De plus, en réussissant un second jet, identique, il peut faire comprendre quelques mots à son interlocuteur et échanger de brèves informations.;;livre-de-regles-2e-edition
Voyageur;2;Pisteur;huit Compétences à 5, Social et Mental à 4, Chance à 3, 2 Privilèges de caste;Du moment qu'il a déjà visité un endroit ou emprunté une route, le personnage est capable de s'y repérer sans aucun risque de se perdre — les conditions de voyage extrêmes ne feront que ralentir sa progression.;Porté par le vent;En dépensant tous ses Points de Chance restants (minimum 1), le personnage peut se jeter à terre et éviter n'importe quelle attaque. La Difficulté de toutes ses actions pour le tour suivant sera augmentée de 10 et le personnage ne pourra regagner aucun Point de Chance durant le reste du combat.;;livre-de-regles-2e-edition
Voyageur;3;Voyageur;une Compétence à 5 dans chacune des huit catégories, tous les Attributs Majeurs à 4, Empathie à 4, Chance à 5, 3 Privilèges de caste;Chaque fois qu'il entre en territoire inconnu (cité, région, fleuve, etc.), le personnage comprend d'instinct certaines caractéristiques propres à ce lieu. Sur un jet de Mental + Empathie contre une Difficulté de 5, il peut apprendre une information par NR (type de gouvernement, présence de dragons, cavités souterraines, etc.). Ce bénéfice ne peut être utilisé que pour des zones géographiques relativement vastes, et non des habitations ou des structures réduites.;Projectile cardinal;Une fois par tour, s'il utilise une arme de distance (ou un ou plusieurs projectiles), le personnage peut renoncer à ses actions pour ne lancer qu'un seul projectile, dont les dommages seront doublés. Pour bénéficier de cet avantage, le personnage doit annoncer l'utilisation de sa Technique avant de déterminer son Initiative. Il conserve ensuite ses dés d'actions devant lui jusqu'à ce qu'il décide de lancer son projectile. Aucune action de défense n'est possible durant ce tour.;;livre-de-regles-2e-edition
Voyageur;4;Solitaire;80 points dans les Compétences, deux Attributs Majeurs à 6, Empathie à 6, Chance à 6, 5 Privilèges de caste;Le personnage est tellement habitué aux voyages que sa présence n'est plus considérée comme une menace par les animaux sauvages, qui ne l'attaquent plus. Au sein d'un groupe, la présence du personnage suffira à tenir en respect des prédateurs et des meutes. Cet avantage ne concerne pas les créatures magiques et/ou intelligentes.;Le couvert de la nuit;Avec les éléments de décor environnants, le personnage peut se rendre si discret que nul ne remarquera sa présence. S'il reste immobile, aucun jet n'est nécessaire. S'il se déplace, sa progression est limitée à sa Coordination en mètres par tour et tous les individus présents dans un rayon de 15 mètres ont droit à un jet de Mental + Perception contre une Difficulté de 20 pour tenter de repérer sa présence. Ce jet doit être effectué à chaque tour où le personnage se déplace, et sa Difficulté peut être augmentée ou diminuée de 5 en fonction du décor. Le personnage est immédiatement repéré s'il effectue une action agressive ou bruyante, mais s'il parvient à moins de 5 mètres d'un adversaire, il peut porter une attaque dont la Difficulté sera réduite de 10. Aucune défense n'est alors possible.;;livre-de-regles-2e-edition
Voyageur;5;Orphelin;100 points dans les Compétences, tous les Attributs Majeurs à 7, Empathie à 8, Chance à 10;Le personnage ne dort jamais que d'un œil, mais son sommeil est incroyablement réparateur. Le moindre bruit suffit à le réveiller et une simple impression de danger mettra instantanément ses sens en alerte. Après une nuit de sommeil complète, le personnage peut dépenser des Points de Chance pour effacer autant de cases de blessure de n'importe quel type. Ces Points de Chance ne peuvent être regagnés avant d'avoir passé une seconde nuit de sommeil.;L'œil du fou;Sans modifier son apparence, le personnage est capable de tromper n'importe quel interlocuteur humain en se faisant passer pour un individu qu'il connaît, ou qu'il invente. La victime de l'illusion est persuadée de faire face à l'homme ou à la femme incarnée par le personnage. Aucun jet ne peut permettre de deviner la supercherie.;;livre-de-regles-2e-edition
